id,title,score,popularity,members,favorites,demographics_id,demographics,genresId,genreName,duration,studioId,studioName,rank,rating,source,status,season,scoredBy,producerId,producerName,producerType,episodes,airing,broadcastDay,broadcastTime,broadcastTimezone,airedFrom,airedTo,type
6682,"{'type': 'Default', 'title': '11eyes'}",6.08,909,228569,428,[],[],"[1, 37, 9]","['Action', 'Supernatural', 'Ecchi']",25 min per ep,[95],['Doga Kobo'],8753,R - 17+ (violence & profanity),Visual novel,Finished Airing,fall,123239,"[82, 144, 699]","['Marvelous', 'Pony Canyon', 'feng']","['anime', 'anime', 'anime']",12,False,Wednesdays,01:00,Asia/Tokyo,2009-10-07T00:00:00+00:00,2009-12-23T00:00:00+00:00,TV
32998,"{'type': 'Default', 'title': '91 Days'}",7.83,270,650735,7376,[],[],"[1, 8]","['Action', 'Drama']",24 min per ep,[1119],['Shuka'],840,R - 17+ (violence & profanity),Original,Finished Airing,summer,299464,"[109, 143, 1626]","['Shochiku', 'Mainichi Broadcasting System', 'Shochiku Music Publishing']","['anime', 'anime', 'anime']",12,False,Saturdays,01:55,Asia/Tokyo,2016-07-09T00:00:00+00:00,2016-10-01T00:00:00+00:00,TV
31580,"{'type': 'Default', 'title': 'Ajin'}",7.41,343,551535,3027,[42],['Seinen'],"[1, 14, 7, 37]","['Action', 'Horror', 'Mystery', 'Supernatural']",24 min per ep,[1023],['Polygon Pictures'],2023,R - 17+ (violence & profanity),Manga,Finished Airing,winter,278725,"[143, 159, 460, 737, 1143, 1344]","['Mainichi Broadcasting System', 'Kodansha', 'KlockWorx', 'Sony Music Communications', 'TOHO animation', 'King Records']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",13,False,Saturdays,01:55,Asia/Tokyo,2016-01-16T00:00:00+00:00,2016-04-09T00:00:00+00:00,TV
22199,"{'type': 'Default', 'title': 'Akame ga Kill!'}",7.47,29,1912673,27165,[27],['Shounen'],"[1, 10]","['Action', 'Fantasy']",23 min per ep,[314],['White Fox'],1786,R - 17+ (violence & profanity),Manga,Finished Airing,summer,1209831,"[58, 1143]","['Square Enix', 'TOHO animation']","['anime', 'anime']",24,False,Mondays,00:00,Asia/Tokyo,2014-07-07T00:00:00+00:00,2014-12-15T00:00:00+00:00,TV
22729,"{'type': 'Default', 'title': 'Aldnoah.Zero'}",7.4,388,489547,3425,[],[],"[1, 24]","['Action', 'Sci-Fi']",23 min per ep,"[56, 1103]","['A-1 Pictures', 'TROYCA']",2048,R - 17+ (violence & profanity),Original,Finished Airing,summer,272677,"[17, 166, 459, 797, 963, 1211, 1415, 1416]","['Aniplex', 'Movic', 'Nitroplus', 'Houbunsha', 'MAGES.', 'Tokyo MX', 'Asahi Broadcasting', 'BS11']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,Sundays,00:00,Asia/Tokyo,2014-07-06T00:00:00+00:00,2014-09-21T00:00:00+00:00,TV
6547,"{'type': 'Default', 'title': 'Angel Beats!'}",8.07,28,1950191,46825,[],[],"[8, 37]","['Drama', 'Supernatural']",24 min per ep,[132],['P.A. Works'],488,PG-13 - Teens 13 or older,Original,Finished Airing,spring,1215111,"[17, 53, 143, 146, 166, 203, 681]","['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC Television', 'Movic', 'Visual Arts', 'ASCII Media Works']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",13,False,,,,2010-04-03T00:00:00+00:00,2010-06-26T00:00:00+00:00,TV
11111,"{'type': 'Default', 'title': 'Another'}",7.48,52,1546572,16543,[],[],"[14, 7, 37, 41]","['Horror', 'Mystery', 'Supernatural', 'Suspense']",24 min per ep,[132],['P.A. Works'],1770,R - 17+ (violence & profanity),Novel,Finished Airing,winter,927724,"[104, 113, 245, 460, 687, 689]","['Lantis', 'Kadokawa Shoten', 'Toho', 'KlockWorx', 'Bandai Namco Live Creative', 'NTT Docomo']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",12,False,,,,2012-01-10T00:00:00+00:00,2012-03-27T00:00:00+00:00,TV
24833,"{'type': 'Default', 'title': 'Ansatsu Kyoushitsu'}",8.09,35,1817744,27802,[27],['Shounen'],"[1, 4]","['Action', 'Comedy']",23 min per ep,[456],['Lerche'],468,PG-13 - Teens 13 or older,Manga,Finished Airing,winter,1081394,"[53, 101, 169, 315, 843, 1284, 1365]","['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",22,False,Saturdays,00:55,Asia/Tokyo,2015-01-10T00:00:00+00:00,2015-06-20T00:00:00+00:00,TV
30654,"{'type': 'Default', 'title': 'Ansatsu Kyoushitsu 2nd Season'}",8.5,85,1292972,16985,[27],['Shounen'],"[1, 4]","['Action', 'Comedy']",23 min per ep,[456],['Lerche'],120,PG-13 - Teens 13 or older,Manga,Finished Airing,winter,808766,"[53, 101, 169, 315, 1284, 1365, 1412]","['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime', 'anime']",25,False,Fridays,01:25,Asia/Tokyo,2016-01-08T00:00:00+00:00,2016-07-01T00:00:00+00:00,TV
9919,"{'type': 'Default', 'title': 'Ao no Exorcist'}",7.51,36,1790556,16343,[27],['Shounen'],"[1, 10]","['Action', 'Fantasy']",24 min per ep,[56],['A-1 Pictures'],1673,PG-13 - Teens 13 or older,Manga,Finished Airing,spring,1086133,"[17, 53, 143, 166, 765, 1365]","['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create', 'Shueisha']","['anime', 'anime', 'anime', 'anime', 'anime', 'anime']",25,False,Sundays,17:00,Asia/Tokyo,2011-04-17T00:00:00+00:00,2011-10-02T00:00:00+00:00,TV
